Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Belarus,BLR,1998,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Belarus,BLR,1997,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Belarus,BLR,1996,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Belarus,BLR,1995,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Belarus,BLR,1994,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Belarus,BLR,1993,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Belarus,BLR,1992,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Belarus,BLR,1991,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Belarus,BLR,1990,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Belarus,BLR,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Belarus,BLR,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Belarus,BLR,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Belarus,BLR,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Belarus,BLR,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Belarus,BLR,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Belarus,BLR,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Belarus,BLR,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Belarus,BLR,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Belarus,BLR,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Belarus,BLR,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Belarus,BLR,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Belarus,BLR,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Belarus,BLR,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Belarus,BLR,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Belarus,BLR,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Belarus,BLR,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Belarus,BLR,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Belarus,BLR,1999,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Belarus,BLR,1998,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Belarus,BLR,1997,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Belarus,BLR,1996,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Belarus,BLR,1995,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Belarus,BLR,1994,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Belarus,BLR,1993,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Belarus,BLR,1992,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Belarus,BLR,1991,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Belarus,BLR,1990,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Belarus,BLR,2017,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Belarus,BLR,2016,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Belarus,BLR,2015,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
